name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Getränke Wüthrich AG,Switzerland,Bar / Restaurant / Store,1 Beer,73 Ratings,(3.271),https://untappd.com/brewery/188005,01/04/2020 10:20:11
Drachenbräu,Switzerland,Nano Brewery,7 Beers,73 Ratings,(3.332),https://untappd.com/brewery/154189,01/04/2020 10:20:11
Rufibräu vo Obwaldä,Switzerland,Nano Brewery,15 Beers,72 Ratings,(4.025),https://untappd.com/brewery/365518,01/04/2020 10:20:11
Walliser Keller,Switzerland,Contract Brewery,3 Beers,72 Ratings,(3.413),https://untappd.com/brewery/363037,01/04/2020 10:20:12
Stanser,Switzerland,Cidery,2 Beers,72 Ratings,(3.517),https://untappd.com/brewery/183310,01/04/2020 10:20:12
Dünnern,Switzerland,Nano Brewery,3 Beers,71 Ratings,(3.521),https://untappd.com/brewery/327481,01/04/2020 10:20:12
Rainacker Brauerei,Switzerland,Nano Brewery,20 Beers,70 Ratings,(0),https://untappd.com/brewery/397042,01/04/2020 10:20:13
REIB BIER - Brauerei Unterkuonimatt,Switzerland,Micro Brewery,13 Beers,69 Ratings,(3.607),https://untappd.com/brewery/378133,01/04/2020 10:20:13
Maltman's,Switzerland,Nano Brewery,0 Beer,69 Ratings,(3.923),https://untappd.com/brewery/280023,01/04/2020 10:20:13
Brasserie des Gros,Switzerland,Nano Brewery,0 Beer,69 Ratings,(2.48),https://untappd.com/brewery/228555,01/04/2020 10:20:14
Mättmibräu,Switzerland,Brew Pub,1 Beer,69 Ratings,(3.511),https://untappd.com/brewery/189494,01/04/2020 10:20:14
Schümberg-Bräu,Switzerland,Nano Brewery,9 Beers,68 Ratings,(3.3),https://untappd.com/brewery/393863,01/04/2020 10:20:14
BrauBarBümpliz,Switzerland,Nano Brewery,11 Beers,67 Ratings,(3.53),https://untappd.com/brewery/379605,01/04/2020 10:20:14
Brasserie des Pommerats,Switzerland,Nano Brewery,5 Beers,67 Ratings,(3.316),https://untappd.com/brewery/352441,01/04/2020 10:20:15
Heimelig Bier,Switzerland,Nano Brewery,10 Beers,66 Ratings,(4.572),https://untappd.com/brewery/418106,01/04/2020 10:20:15
Brasserie Artisanale des Molettes,Switzerland,Nano Brewery,13 Beers,66 Ratings,(3.426),https://untappd.com/brewery/353909,01/04/2020 10:20:15
MACA Craft Brewery,Switzerland,Nano Brewery,7 Beers,65 Ratings,(3.327),https://untappd.com/brewery/293602,01/04/2020 10:20:16
La Mécanique Des Fluides,Switzerland,Nano Brewery,10 Beers,64 Ratings,(3.547),https://untappd.com/brewery/383966,01/04/2020 10:20:16
476 Faulensee,Switzerland,Nano Brewery,25 Beers,64 Ratings,(0),https://untappd.com/brewery/373416,01/04/2020 10:20:16
Mountain View,Switzerland,Nano Brewery,6 Beers,64 Ratings,(3.217),https://untappd.com/brewery/321133,01/04/2020 10:20:17
Herzbräu,Switzerland,Nano Brewery,8 Beers,64 Ratings,(3.6),https://untappd.com/brewery/213594,01/04/2020 10:20:17
Krügelbier,Switzerland,Nano Brewery,12 Beers,63 Ratings,(3.607),https://untappd.com/brewery/315149,01/04/2020 10:20:17
Sevibräu,Switzerland,Nano Brewery,10 Beers,62 Ratings,(3.612),https://untappd.com/brewery/80828,01/04/2020 10:20:18
Rokki,Switzerland,Nano Brewery,12 Beers,62 Ratings,(3.146),https://untappd.com/brewery/225099,01/04/2020 10:20:18
Roubouz Braumanufaktur,Switzerland,Nano Brewery,8 Beers,61 Ratings,(3.513),https://untappd.com/brewery/399166,01/04/2020 10:20:18
Franzen Brau,Switzerland,Nano Brewery,0 Beer,61 Ratings,(3.512),https://untappd.com/brewery/397552,01/04/2020 10:20:19
Brauerei Zweierlei,Switzerland,Nano Brewery,11 Beers,61 Ratings,(3.135),https://untappd.com/brewery/302681,01/04/2020 10:20:19
CaramBier,Switzerland,Nano Brewery,9 Beers,60 Ratings,(3.869),https://untappd.com/brewery/385092,01/04/2020 10:20:19
Reuss Schlaufe,Switzerland,Nano Brewery,9 Beers,60 Ratings,(3.196),https://untappd.com/brewery/312337,01/04/2020 10:20:20
Fox & Rabbit,Switzerland,Nano Brewery,14 Beers,60 Ratings,(0),https://untappd.com/brewery/298923,01/04/2020 10:20:20
Kulturhof Hinter Musegg,Switzerland,Nano Brewery,6 Beers,60 Ratings,(3.538),https://untappd.com/brewery/269140,01/04/2020 10:20:20
La Cave Microbrasserie,Switzerland,Nano Brewery,14 Beers,59 Ratings,(3.729),https://untappd.com/brewery/414636,01/04/2020 10:20:21
La P’tite Anglaise,Switzerland,Nano Brewery,5 Beers,59 Ratings,(3.324),https://untappd.com/brewery/382132,01/04/2020 10:20:21
ABZ.beer (Allgemeine Braugenossenschaft Zürich),Switzerland,Nano Brewery,7 Beers,59 Ratings,(3.357),https://untappd.com/brewery/281856,01/04/2020 10:20:21
Cow Water,Switzerland,Nano Brewery,6 Beers,58 Ratings,(3.438),https://untappd.com/brewery/71930,01/04/2020 10:20:21
Karl,Switzerland,Bar / Restaurant / Store,2 Beers,58 Ratings,(3.473),https://untappd.com/brewery/212018,01/04/2020 10:20:22
PD Beer,Switzerland,Nano Brewery,6 Beers,57 Ratings,(2.875),https://untappd.com/brewery/404943,01/04/2020 10:20:22
MischMasch,Switzerland,Nano Brewery,6 Beers,58 Ratings,(3.123),https://untappd.com/brewery/394342,01/04/2020 10:20:22
Soif De Voyage,Switzerland,Nano Brewery,7 Beers,57 Ratings,(3.459),https://untappd.com/brewery/378440,01/04/2020 10:20:23
Rössli Bier,Switzerland,Nano Brewery,7 Beers,57 Ratings,(3.375),https://untappd.com/brewery/213929,01/04/2020 10:20:23
Hecht,Switzerland,Contract Brewery,3 Beers,57 Ratings,(3.734),https://untappd.com/brewery/179935,01/04/2020 10:20:23
la Filature,Switzerland,Nano Brewery,8 Beers,56 Ratings,(3.732),https://untappd.com/brewery/359419,01/04/2020 10:20:24
Löwenbräu Zürich,Switzerland,Macro Brewery,0 Beer,56 Ratings,(3.375),https://untappd.com/brewery/134735,01/04/2020 10:20:24
Hopfenfisch,Switzerland,Nano Brewery,4 Beers,59 Ratings,(3.5),https://untappd.com/brewery/426348,01/04/2020 10:20:24
Brau Bandi,Switzerland,Nano Brewery,3 Beers,55 Ratings,(2.885),https://untappd.com/brewery/380963,01/04/2020 10:20:25
Bière Du Pendule,Switzerland,Nano Brewery,4 Beers,55 Ratings,(3.166),https://untappd.com/brewery/379325,01/04/2020 10:20:25
Rigamonti,Switzerland,Nano Brewery,12 Beers,55 Ratings,(3.588),https://untappd.com/brewery/370428,01/04/2020 10:20:25
Metsiederei Eckert,Switzerland,Meadery,8 Beers,55 Ratings,(3.993),https://untappd.com/brewery/350523,01/04/2020 10:20:26
Stedtli Bier,Switzerland,Nano Brewery,1 Beer,55 Ratings,(3.636),https://untappd.com/brewery/345060,01/04/2020 10:20:26
Bitterspiel,Switzerland,Nano Brewery,12 Beers,55 Ratings,(3.625),https://untappd.com/brewery/344565,01/04/2020 10:20:26
Tiboris,Switzerland,Nano Brewery,9 Beers,55 Ratings,(3.119),https://untappd.com/brewery/338025,01/04/2020 10:20:27
Imkerei.ch,Switzerland,Meadery,28 Beers,55 Ratings,(0),https://untappd.com/brewery/283123,01/04/2020 10:20:27
La Brasserie Des Fées,Switzerland,Nano Brewery,7 Beers,54 Ratings,(3.273),https://untappd.com/brewery/426804,01/04/2020 10:20:27
Hörnlibräu,Switzerland,Nano Brewery,12 Beers,54 Ratings,(3.205),https://untappd.com/brewery/261473,01/04/2020 10:20:28
Vie Montagne,Switzerland,Brew Pub,13 Beers,53 Ratings,(3.5),https://untappd.com/brewery/425681,01/04/2020 10:20:28
Kämpf,Switzerland,Nano Brewery,12 Beers,53 Ratings,(3.475),https://untappd.com/brewery/414553,01/04/2020 10:20:28
Brasserie de la Pêcherie,Switzerland,Nano Brewery,12 Beers,53 Ratings,(3.131),https://untappd.com/brewery/403338,01/04/2020 10:20:29
Brasserie Keller,Switzerland,Nano Brewery,9 Beers,53 Ratings,(3.643),https://untappd.com/brewery/384412,01/04/2020 10:20:29
MarRei,Switzerland,Nano Brewery,5 Beers,53 Ratings,(3.661),https://untappd.com/brewery/353039,01/04/2020 10:20:29
Smöre-Bräu,Switzerland,Nano Brewery,2 Beers,53 Ratings,(3.135),https://untappd.com/brewery/232657,01/04/2020 10:20:30
Kramer Bier,Switzerland,Nano Brewery,6 Beers,52 Ratings,(3.383),https://untappd.com/brewery/442860,01/04/2020 10:20:30
Geronimo-Brewery Alpstübli Trübsee,Switzerland,Nano Brewery,3 Beers,52 Ratings,(3.195),https://untappd.com/brewery/399125,01/04/2020 10:20:30
James Bräu,Switzerland,Nano Brewery,18 Beers,52 Ratings,(0),https://untappd.com/brewery/255280,01/04/2020 10:20:31
Menzbergbier,Switzerland,Nano Brewery,7 Beers,52 Ratings,(3.532),https://untappd.com/brewery/206643,01/04/2020 10:20:31
Unterländer Bräu,Switzerland,Nano Brewery,7 Beers,52 Ratings,(3.491),https://untappd.com/brewery/160144,01/04/2020 10:20:32
einheitsbier.ch,Switzerland,Nano Brewery,3 Beers,51 Ratings,(3.985),https://untappd.com/brewery/204378,01/04/2020 10:20:32
Schnack Bier,Switzerland,Nano Brewery,0 Beer,51 Ratings,(3.682),https://untappd.com/brewery/198153,01/04/2020 10:20:33
Ravenhead Brewery,Switzerland,Nano Brewery,1 Beer,50 Ratings,(3.546),https://untappd.com/brewery/420043,01/04/2020 10:20:33
DCider,Switzerland,Nano Brewery,2 Beers,50 Ratings,(3.543),https://untappd.com/brewery/417762,01/04/2020 10:20:33
Brauerei G48,Switzerland,Nano Brewery,14 Beers,50 Ratings,(0),https://untappd.com/brewery/291903,01/04/2020 10:20:34
Grundlos Brauerei,Switzerland,Nano Brewery,2 Beers,49 Ratings,(3.235),https://untappd.com/brewery/289351,01/04/2020 10:20:34
Le Maître dé Bataille,Switzerland,Nano Brewery,6 Beers,49 Ratings,(3.25),https://untappd.com/brewery/207369,01/04/2020 10:20:34
Büchler Zu Mägenwil,Switzerland,Nano Brewery,8 Beers,49 Ratings,(2.932),https://untappd.com/brewery/152471,01/04/2020 10:20:35
Cervisia,Switzerland,Contract Brewery,3 Beers,49 Ratings,(2.976),https://untappd.com/brewery/145484,01/04/2020 10:20:35
Cidre Rusé Sa,Switzerland,Cidery,1 Beer,48 Ratings,(3.417),https://untappd.com/brewery/402859,01/04/2020 10:20:36
Brauerei Wiggerli,Switzerland,Nano Brewery,7 Beers,48 Ratings,(3.285),https://untappd.com/brewery/376693,01/04/2020 10:20:36
Chübelimoser,Switzerland,Brew Pub,6 Beers,48 Ratings,(3.534),https://untappd.com/brewery/301354,01/04/2020 10:20:37
Eburon Brewing,Switzerland,Nano Brewery,7 Beers,47 Ratings,(3.405),https://untappd.com/brewery/438286,01/04/2020 10:20:38
Brasserie des Bains,Switzerland,Nano Brewery,9 Beers,47 Ratings,(3.679),https://untappd.com/brewery/185456,01/04/2020 10:20:38
Bürchner Bier,Switzerland,Nano Brewery,4 Beers,47 Ratings,(3.285),https://untappd.com/brewery/162569,01/04/2020 10:20:39
Quatre Pouces,Switzerland,Nano Brewery,12 Beers,46 Ratings,(0),https://untappd.com/brewery/436946,01/04/2020 10:20:39
Lindenbergbräu,Switzerland,Nano Brewery,0 Beer,46 Ratings,(3.07),https://untappd.com/brewery/154230,01/04/2020 10:20:39
Brauerei Starrest,Switzerland,Nano Brewery,0 Beer,46 Ratings,(2.96),https://untappd.com/brewery/149031,01/04/2020 10:20:40
Samigo,Switzerland,Nano Brewery,1 Beer,45 Ratings,(3.117),https://untappd.com/brewery/440091,01/04/2020 10:20:40
Geronimo Bräu,Switzerland,Nano Brewery,7 Beers,45 Ratings,(3.269),https://untappd.com/brewery/410014,01/04/2020 10:20:40
Cargo Bar,Switzerland,Brew Pub,3 Beers,45 Ratings,(3.06),https://untappd.com/brewery/181938,01/04/2020 10:20:41
Cathélaz,Switzerland,Nano Brewery,14 Beers,44 Ratings,(3.525),https://untappd.com/brewery/82484,01/04/2020 10:20:41
Feintrunk,Switzerland,Nano Brewery,10 Beers,44 Ratings,(0),https://untappd.com/brewery/449095,01/04/2020 10:20:42
Hopferdammi,Switzerland,Nano Brewery,7 Beers,44 Ratings,(3.353),https://untappd.com/brewery/413527,01/04/2020 10:20:42
Guldentaler Bier GmbH,Switzerland,Nano Brewery,6 Beers,44 Ratings,(3.179),https://untappd.com/brewery/268958,01/04/2020 10:20:43
Asatec AG (Murerbier),Switzerland,Nano Brewery,3 Beers,44 Ratings,(3.281),https://untappd.com/brewery/247700,01/04/2020 10:20:43
Van Maisenberg,Switzerland,Nano Brewery,9 Beers,43 Ratings,(3.333),https://untappd.com/brewery/409997,01/04/2020 10:20:44
GIZ AIS,Switzerland,Nano Brewery,6 Beers,43 Ratings,(3.482),https://untappd.com/brewery/391848,01/04/2020 10:20:44
Kläf Kläf Brew,Switzerland,Nano Brewery,7 Beers,43 Ratings,(3.7),https://untappd.com/brewery/297752,01/04/2020 10:20:44
Braukeller Neustadtstrasse Luzern,Switzerland,Brew Pub,1 Beer,42 Ratings,(3.292),https://untappd.com/brewery/383292,01/04/2020 10:20:45
Chäserstatt,Switzerland,Nano Brewery,4 Beers,42 Ratings,(3.55),https://untappd.com/brewery/356745,01/04/2020 10:20:45
Canobeer,Switzerland,Nano Brewery,7 Beers,42 Ratings,(3.472),https://untappd.com/brewery/275565,01/04/2020 10:20:45
Brauhaus Uto,Switzerland,Nano Brewery,23 Beers,42 Ratings,(0),https://untappd.com/brewery/236999,01/04/2020 10:20:46
BrewBrothers,Switzerland,Nano Brewery,5 Beers,42 Ratings,(3.49),https://untappd.com/brewery/173383,01/04/2020 10:20:46
Wagerswiler Bräu,Switzerland,Nano Brewery,9 Beers,42 Ratings,(3.205),https://untappd.com/brewery/172804,01/04/2020 10:20:47
Kohlmann's,Switzerland,Bar / Restaurant / Store,1 Beer,41 Ratings,(3.512),https://untappd.com/brewery/355481,01/04/2020 10:20:47
Birra Schmid,Switzerland,Nano Brewery,3 Beers,41 Ratings,(3.05),https://untappd.com/brewery/250869,01/04/2020 10:20:47
Brasserie la Spirale,Switzerland,Nano Brewery,4 Beers,40 Ratings,(3.376),https://untappd.com/brewery/401825,01/04/2020 10:20:48
1386,Switzerland,Nano Brewery,6 Beers,40 Ratings,(3.431),https://untappd.com/brewery/382771,01/04/2020 10:20:48
Wäbis Brauerei,Switzerland,Nano Brewery,8 Beers,40 Ratings,(4.104),https://untappd.com/brewery/363998,01/04/2020 10:20:48
CM Brauhaus,Switzerland,Bar / Restaurant / Store,7 Beers,40 Ratings,(3.481),https://untappd.com/brewery/342122,01/04/2020 10:20:49
Backstabber,Switzerland,Cidery,4 Beers,40 Ratings,(3.492),https://untappd.com/brewery/341678,01/04/2020 10:20:49
Selvatici,Switzerland,Nano Brewery,7 Beers,40 Ratings,(3.414),https://untappd.com/brewery/312001,01/04/2020 10:20:49
Culina Bräu,Switzerland,Nano Brewery,13 Beers,40 Ratings,(3.364),https://untappd.com/brewery/218257,01/04/2020 10:20:50
Chicco Bräu,Switzerland,Nano Brewery,11 Beers,40 Ratings,(0),https://untappd.com/brewery/190848,01/04/2020 10:20:50
Mosterei Oswald + Ruch,Switzerland,Cidery,8 Beers,39 Ratings,(0),https://untappd.com/brewery/438505,01/04/2020 10:20:50
Chez Vrony,Switzerland,Bar / Restaurant / Store,1 Beer,39 Ratings,(3.403),https://untappd.com/brewery/379155,01/04/2020 10:20:51
Brasserie Urbaine Genevoise,Switzerland,Nano Brewery,15 Beers,39 Ratings,(3.6),https://untappd.com/brewery/153860,01/04/2020 10:20:51
Bière Buse,Switzerland,Nano Brewery,2 Beers,39 Ratings,(3.19),https://untappd.com/brewery/129599,01/04/2020 10:20:51
Brauerei Thun AG,Switzerland,Nano Brewery,2 Beers,38 Ratings,(3.66),https://untappd.com/brewery/406797,01/04/2020 10:20:52
Full House Brewery,Switzerland,Nano Brewery,5 Beers,38 Ratings,(3.252),https://untappd.com/brewery/363476,01/04/2020 10:20:52
Bannwald Brewery,Switzerland,Nano Brewery,9 Beers,38 Ratings,(0),https://untappd.com/brewery/361373,01/04/2020 10:20:52
Schori's Beer,Switzerland,Nano Brewery,10 Beers,38 Ratings,(3.75),https://untappd.com/brewery/360042,01/04/2020 10:20:53
Ulf & The Wolf,Switzerland,Nano Brewery,3 Beers,38 Ratings,(3.785),https://untappd.com/brewery/300563,01/04/2020 10:20:53
Brauerei BoGe,Switzerland,Nano Brewery,9 Beers,37 Ratings,(0),https://untappd.com/brewery/431488,01/04/2020 10:20:53
Bieruri,Switzerland,Nano Brewery,7 Beers,37 Ratings,(0),https://untappd.com/brewery/387526,01/04/2020 10:20:54
Bières Des Minibulles,Switzerland,Contract Brewery,2 Beers,37 Ratings,(3.523),https://untappd.com/brewery/355487,01/04/2020 10:20:54
L'Agneau à Trois Pattes,Switzerland,Micro Brewery,6 Beers,37 Ratings,(3.875),https://untappd.com/brewery/347587,01/04/2020 10:20:54
Sankt Johanns Bräu,Switzerland,Nano Brewery,6 Beers,37 Ratings,(0),https://untappd.com/brewery/292999,01/04/2020 10:20:55
Stögu-Bier,Switzerland,Nano Brewery,7 Beers,37 Ratings,(3.502),https://untappd.com/brewery/214875,01/04/2020 10:20:55
Stozi-Bräu,Switzerland,Nano Brewery,9 Beers,37 Ratings,(3.159),https://untappd.com/brewery/162599,01/04/2020 10:20:55
La Prévert,Switzerland,Nano Brewery,9 Beers,37 Ratings,(0),https://untappd.com/brewery/155315,01/04/2020 10:20:56
Stägi Bräu,Switzerland,Nano Brewery,7 Beers,36 Ratings,(3.821),https://untappd.com/brewery/40186,01/04/2020 10:20:56
Sonnrain Brauerei,Switzerland,Nano Brewery,4 Beers,36 Ratings,(3.121),https://untappd.com/brewery/348573,01/04/2020 10:20:56
Tucho Brew,Switzerland,Nano Brewery,13 Beers,35 Ratings,(3.523),https://untappd.com/brewery/411730,01/04/2020 10:20:57
Penny Farthing,Switzerland,Bar / Restaurant / Store,1 Beer,35 Ratings,(3.379),https://untappd.com/brewery/351763,01/04/2020 10:20:57
Braubär Brauerei,Switzerland,Nano Brewery,4 Beers,35 Ratings,(3.324),https://untappd.com/brewery/340649,01/04/2020 10:20:57
3 Finger Joe,Switzerland,Nano Brewery,9 Beers,35 Ratings,(0),https://untappd.com/brewery/329525,01/04/2020 10:20:58
Herrenberg Bräu,Switzerland,Nano Brewery,11 Beers,35 Ratings,(0),https://untappd.com/brewery/235133,01/04/2020 10:20:58
Chrüpfe Bier,Switzerland,Nano Brewery,8 Beers,35 Ratings,(3.596),https://untappd.com/brewery/209141,01/04/2020 10:20:58
La Diablesse,Switzerland,Nano Brewery,5 Beers,35 Ratings,(3.305),https://untappd.com/brewery/449571,01/04/2020 10:20:59
Brasserie Du Plombier,Switzerland,Nano Brewery,8 Beers,34 Ratings,(3.354),https://untappd.com/brewery/417696,01/04/2020 10:20:59
Fäze Bräu,Switzerland,Nano Brewery,7 Beers,34 Ratings,(3.625),https://untappd.com/brewery/403089,01/04/2020 10:20:59
Zipfelbier,Switzerland,Nano Brewery,4 Beers,34 Ratings,(3.47),https://untappd.com/brewery/297094,01/04/2020 10:21:00
la Collégiale,Switzerland,Nano Brewery,6 Beers,34 Ratings,(3.417),https://untappd.com/brewery/269243,01/04/2020 10:21:00
Haxli Schwändi Bräu,Switzerland,Nano Brewery,3 Beers,34 Ratings,(3.621),https://untappd.com/brewery/210550,01/04/2020 10:21:00
Landhotel Hirschen,Switzerland,Bar / Restaurant / Store,1 Beer,34 Ratings,(3.61),https://untappd.com/brewery/205948,01/04/2020 10:21:01
Brasserie de l'Ours,Switzerland,Brew Pub,4 Beers,34 Ratings,(3.229),https://untappd.com/brewery/124678,01/04/2020 10:21:01
BrauWerk,Switzerland,Nano Brewery,5 Beers,33 Ratings,(3.438),https://untappd.com/brewery/65018,01/04/2020 10:21:01
PeRo Brauerei,Switzerland,Nano Brewery,7 Beers,33 Ratings,(0),https://untappd.com/brewery/380776,01/04/2020 10:21:02
Kägi Bräu,Switzerland,Nano Brewery,8 Beers,33 Ratings,(0),https://untappd.com/brewery/369852,01/04/2020 10:21:02
Riminy,Switzerland,Nano Brewery,15 Beers,33 Ratings,(0),https://untappd.com/brewery/297826,01/04/2020 10:21:02
Courtysane,Switzerland,Nano Brewery,5 Beers,33 Ratings,(0),https://untappd.com/brewery/199716,01/04/2020 10:21:03
Brummbacher,Switzerland,Nano Brewery,5 Beers,33 Ratings,(3.413),https://untappd.com/brewery/140684,01/04/2020 10:21:03
Hof-Braui,Switzerland,Nano Brewery,10 Beers,33 Ratings,(0),https://untappd.com/brewery/140534,01/04/2020 10:21:03
Wilde Maa,Switzerland,Cidery,1 Beer,32 Ratings,(3.586),https://untappd.com/brewery/392707,01/04/2020 10:21:04
Brauerei Vitznau,Switzerland,Nano Brewery,4 Beers,32 Ratings,(3.615),https://untappd.com/brewery/389725,01/04/2020 10:21:04
Les Deux Souris,Switzerland,Nano Brewery,8 Beers,32 Ratings,(0),https://untappd.com/brewery/246393,01/04/2020 10:21:05
Guldibräu - 47grad Nord,Switzerland,Nano Brewery,0 Beer,31 Ratings,(3.382),https://untappd.com/brewery/83163,01/04/2020 10:21:05
Don Nino,Switzerland,Nano Brewery,3 Beers,31 Ratings,(3.696),https://untappd.com/brewery/411648,01/04/2020 10:21:05
Grain Zurich,Switzerland,Bar / Restaurant / Store,6 Beers,31 Ratings,(0),https://untappd.com/brewery/411336,01/04/2020 10:21:06
Brasserie Artisanale Du Mât,Switzerland,Nano Brewery,3 Beers,31 Ratings,(3.576),https://untappd.com/brewery/395303,01/04/2020 10:21:06
la Faougueuse,Switzerland,Nano Brewery,11 Beers,31 Ratings,(0),https://untappd.com/brewery/294626,01/04/2020 10:21:06
8406,Switzerland,Nano Brewery,9 Beers,31 Ratings,(3.075),https://untappd.com/brewery/254712,01/04/2020 10:21:07
Muschtibräu,Switzerland,Nano Brewery,3 Beers,31 Ratings,(3.153),https://untappd.com/brewery/160205,01/04/2020 10:21:07
Heidnisch Bier,Switzerland,Nano Brewery,2 Beers,30 Ratings,(3.603),https://untappd.com/brewery/416076,01/04/2020 10:21:07
Joranbräu GmbH,Switzerland,Nano Brewery,8 Beers,30 Ratings,(3.425),https://untappd.com/brewery/386863,01/04/2020 10:21:08
BlackDot Cider,Switzerland,Cidery,4 Beers,30 Ratings,(3.33),https://untappd.com/brewery/377613,01/04/2020 10:21:08
Rütihöfler Bräu,Switzerland,Nano Brewery,6 Beers,30 Ratings,(3.479),https://untappd.com/brewery/279457,01/04/2020 10:21:08
Magie Bräu,Switzerland,Nano Brewery,9 Beers,30 Ratings,(3.393),https://untappd.com/brewery/208597,01/04/2020 10:21:09
165,Switzerland,Nano Brewery,12 Beers,30 Ratings,(0),https://untappd.com/brewery/174462,01/04/2020 10:21:09
Festbierbrauerei Stollo's Best,Switzerland,Nano Brewery,10 Beers,29 Ratings,(0),https://untappd.com/brewery/431632,01/04/2020 10:21:09
Viking Brew Lab,Switzerland,Nano Brewery,5 Beers,29 Ratings,(3.658),https://untappd.com/brewery/414988,01/04/2020 10:21:10
La Brassée Du Chevrier,Switzerland,Nano Brewery,3 Beers,29 Ratings,(3.063),https://untappd.com/brewery/408609,01/04/2020 10:21:10
Äigebraij,Switzerland,Nano Brewery,6 Beers,29 Ratings,(3.45),https://untappd.com/brewery/365600,01/04/2020 10:21:10
Brasserie du Cerbère,Switzerland,Nano Brewery,0 Beer,29 Ratings,(0),https://untappd.com/brewery/338082,01/04/2020 10:21:11
Brasserie du Poyet,Switzerland,Nano Brewery,8 Beers,29 Ratings,(0),https://untappd.com/brewery/334145,01/04/2020 10:21:11
Köchli Steinmaur,Switzerland,Nano Brewery,4 Beers,29 Ratings,(3.455),https://untappd.com/brewery/298473,01/04/2020 10:21:11
Pension Gimmelwald,Switzerland,Brew Pub,0 Beer,29 Ratings,(0),https://untappd.com/brewery/153959,01/04/2020 10:21:12
Bierliebe,Switzerland,Nano Brewery,1 Beer,28 Ratings,(3.491),https://untappd.com/brewery/452730,01/04/2020 10:21:12
Brews Brothers,Switzerland,Nano Brewery,7 Beers,28 Ratings,(0),https://untappd.com/brewery/447247,01/04/2020 10:21:12
Braugarage Reinach,Switzerland,Nano Brewery,5 Beers,28 Ratings,(3.659),https://untappd.com/brewery/431474,01/04/2020 10:21:13
Sohnemann,Switzerland,Nano Brewery,10 Beers,28 Ratings,(3.8),https://untappd.com/brewery/428392,01/04/2020 10:21:13
Löwen Garten,Switzerland,Micro Brewery,1 Beer,28 Ratings,(3.009),https://untappd.com/brewery/426007,01/04/2020 10:21:13
Cadar SA,Switzerland,Contract Brewery,2 Beers,28 Ratings,(2.587),https://untappd.com/brewery/403149,01/04/2020 10:21:14
Faiseurs de Bière,Switzerland,Micro Brewery,0 Beer,28 Ratings,(0),https://untappd.com/brewery/36037,01/04/2020 10:21:14
Bironsa,Switzerland,Nano Brewery,7 Beers,28 Ratings,(0),https://untappd.com/brewery/353666,01/04/2020 10:21:14
Gruebe Bräu,Switzerland,Nano Brewery,8 Beers,28 Ratings,(3.396),https://untappd.com/brewery/347181,01/04/2020 10:21:15
Seegal,Switzerland,Nano Brewery,16 Beers,28 Ratings,(0),https://untappd.com/brewery/198642,01/04/2020 10:21:15
Schlugg,Switzerland,Nano Brewery,4 Beers,28 Ratings,(3.489),https://untappd.com/brewery/141592,01/04/2020 10:21:15
Little Switzerland,United States,Bar / Restaurant / Store,1 Beer,28 Ratings,(3.696),https://untappd.com/brewery/128571,01/04/2020 10:21:16
Hotel Brauerei Frohsinn,Switzerland,Brew Pub,8 Beers,27 Ratings,(3.5),https://untappd.com/brewery/569,01/04/2020 10:21:16
Super Brew Bros.,Switzerland,Nano Brewery,2 Beers,27 Ratings,(3.944),https://untappd.com/brewery/455597,01/04/2020 10:21:16
Brasserie d'Oleyres,Switzerland,Nano Brewery,6 Beers,27 Ratings,(3.614),https://untappd.com/brewery/363219,01/04/2020 10:21:17
Langnouer Braui,Switzerland,Nano Brewery,7 Beers,27 Ratings,(2.875),https://untappd.com/brewery/268282,01/04/2020 10:21:17
Brasserie Artisanale de Porrentruy,Switzerland,Nano Brewery,5 Beers,27 Ratings,(0),https://untappd.com/brewery/227653,01/04/2020 10:21:18
Heftig,Switzerland,Nano Brewery,6 Beers,26 Ratings,(0),https://untappd.com/brewery/443141,01/04/2020 10:21:18
A&F Kaess,Switzerland,Nano Brewery,3 Beers,26 Ratings,(3.42),https://untappd.com/brewery/424239,01/04/2020 10:21:18
Extra-Muros,Switzerland,Nano Brewery,4 Beers,26 Ratings,(3.839),https://untappd.com/brewery/398001,01/04/2020 10:21:19
Brasserie de la Choufaille,Switzerland,Nano Brewery,5 Beers,26 Ratings,(3.864),https://untappd.com/brewery/384559,01/04/2020 10:21:19
Brasserie Du Nord,Switzerland,Nano Brewery,4 Beers,26 Ratings,(0),https://untappd.com/brewery/354244,01/04/2020 10:21:19
Muhen Bräu,Switzerland,Nano Brewery,17 Beers,26 Ratings,(0),https://untappd.com/brewery/345152,01/04/2020 10:21:20
B'rs Bierwerk,Switzerland,Nano Brewery,4 Beers,26 Ratings,(0),https://untappd.com/brewery/337830,01/04/2020 10:21:20
R. Kahn,Switzerland,Nano Brewery,4 Beers,26 Ratings,(3.825),https://untappd.com/brewery/329143,01/04/2020 10:21:20
la Grenade,Switzerland,Nano Brewery,4 Beers,26 Ratings,(3.373),https://untappd.com/brewery/292895,01/04/2020 10:21:21
Manor AG,Switzerland,Bar / Restaurant / Store,4 Beers,27 Ratings,(3.303),https://untappd.com/brewery/291348,01/04/2020 10:21:21
Hausbrauerei Zulg,Switzerland,Nano Brewery,7 Beers,26 Ratings,(0),https://untappd.com/brewery/163285,01/04/2020 10:21:21
