name,country,kind,no_beers,no_ratings,rating,link,date_brewery
Seebueb,Switzerland,Nano Brewery,16 Beers,1016 Ratings,(3.33),https://untappd.com/brewery/126428,01/04/2020 10:18:38
Eurobräu,Switzerland,Bar / Restaurant / Store,1 Beer,1013 Ratings,(2.654),https://untappd.com/brewery/26111,01/04/2020 10:18:38
Schuum,Switzerland,Nano Brewery,21 Beers,950 Ratings,(3.574),https://untappd.com/brewery/302233,01/04/2020 10:18:38
Sierrvoise,Switzerland,Micro Brewery,6 Beers,945 Ratings,(3.317),https://untappd.com/brewery/54680,01/04/2020 10:18:38
Davoser Craft Beer,Switzerland,Nano Brewery,7 Beers,938 Ratings,(3.481),https://untappd.com/brewery/377861,01/04/2020 10:18:39
UHB Üelus Homebrew,Switzerland,Nano Brewery,65 Beers,922 Ratings,(3.336),https://untappd.com/brewery/17149,01/04/2020 10:18:39
Stadtbier Chur,Switzerland,Nano Brewery,23 Beers,914 Ratings,(3.377),https://untappd.com/brewery/146075,01/04/2020 10:18:39
Brauerei Oerlikon,Switzerland,Nano Brewery,8 Beers,913 Ratings,(3.257),https://untappd.com/brewery/236848,01/04/2020 10:18:39
Brauerei St. Johann,Switzerland,Nano Brewery,29 Beers,885 Ratings,(3.474),https://untappd.com/brewery/81963,01/04/2020 10:18:40
Hardwald,Switzerland,Nano Brewery,9 Beers,876 Ratings,(3.18),https://untappd.com/brewery/132489,01/04/2020 10:18:40
LA PIÈCE,Switzerland,Nano Brewery,15 Beers,832 Ratings,(3.55),https://untappd.com/brewery/209338,01/04/2020 10:18:40
Cidrerie Du Vulcain,Switzerland,Cidery,26 Beers,820 Ratings,(3.994),https://untappd.com/brewery/80533,01/04/2020 10:18:41
Federation of Malted Republics (FMR),Switzerland,Nano Brewery,10 Beers,821 Ratings,(3.507),https://untappd.com/brewery/202606,01/04/2020 10:18:41
Brau Rebel,Switzerland,Contract Brewery,30 Beers,809 Ratings,(3.574),https://untappd.com/brewery/379459,01/04/2020 10:18:41
