link,location,no_checkins_all_time,no_users_all_time,monthly,beer_name,beer_stye,abv,ibu,beer_rating,raters,added,beer_link
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Bügel,Lager - Euro Pale,4.8% ABV,20 IBU,(3.27),"3,105 Ratings",Added 07/06/11,https://untappd.com/b/feldschlosschen-bugel/62586
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Premium,Pilsner - German,5% ABV,19 IBU,(3.03),"3,036 Ratings",Added 08/02/11,https://untappd.com/b/feldschlosschen-premium/68678
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Hopfen Houblon,Pilsner - Other,5.3% ABV,22 IBU,(2.99),"2,237 Ratings",Added 02/18/17,https://untappd.com/b/feldschlosschen-hopfen-houblon/1954862
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Cardinal Spéciale,Pilsner - Other,5.2% ABV,26 IBU,(3.03),"2,030 Ratings",Added 11/04/11,https://untappd.com/b/feldschlosschen-cardinal-speciale/95284
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Amber,Lager - Amber,5.2% ABV,17 IBU,(3.15),"2,045 Ratings",Added 11/19/11,https://untappd.com/b/feldschlosschen-amber/100317
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Anker,Lager - Euro Pale,4.8% ABV,N/A IBU,(2.66),"1,697 Ratings",Added 09/07/12,https://untappd.com/b/feldschlosschen-anker/226448
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Stark,Lager - Euro Strong,7% ABV,21 IBU,(2.96),"1,795 Ratings",Added 03/10/13,https://untappd.com/b/feldschlosschen-stark/324507
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Weihnachtsbier,Lager - Winter,5.5% ABV,N/A IBU,(3.1),"1,556 Ratings",Added 12/18/13,https://untappd.com/b/feldschlosschen-weihnachtsbier/534803
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Alkoholfrei Lager,Non-Alcoholic Beer,0.5% ABV,15 IBU,(2.36),"1,567 Ratings",Added 11/04/11,https://untappd.com/b/feldschlosschen-alkoholfrei-lager/95299
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Gurten Lager,Lager - Euro Pale,4.8% ABV,22 IBU,(3.08),"1,125 Ratings",Added 11/05/11,https://untappd.com/b/feldschlosschen-gurten-lager/95676
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Frühlingsbier,Lager - Euro Pale,4.8% ABV,N/A IBU,(3.13),"1,089 Ratings",Added 03/07/15,https://untappd.com/b/feldschlosschen-fruhlingsbier/1001240
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Warteck Lager,Lager - Euro Pale,4.8% ABV,22 IBU,(2.92),942 Ratings,Added 08/01/11,https://untappd.com/b/feldschlosschen-warteck-lager/68511
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,1291,Lager - Euro Pale,4.8% ABV,N/A IBU,(2.68),771 Ratings,Added 04/12/13,https://untappd.com/b/feldschlosschen-1291/344418
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Frucht Panaché,Shandy / Radler,2% ABV,4 IBU,(2.92),712 Ratings,Added 11/04/11,https://untappd.com/b/feldschlosschen-frucht-panache/95301
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Cardinal Draft Original,Lager - Helles,4.7% ABV,14 IBU,(2.85),640 Ratings,Added 11/04/11,https://untappd.com/b/feldschlosschen-cardinal-draft-original/95282
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Feldschlösschen Pale Ale,Pale Ale - International,5% ABV,25 IBU,(3.12),714 Ratings,Added 04/27/19,https://untappd.com/b/feldschlosschen-feldschlosschen-pale-ale/3198736
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Gurten Bäre Gold,Pilsner - German,5.2% ABV,26 IBU,(3.11),521 Ratings,Added 11/05/11,https://untappd.com/b/feldschlosschen-gurten-bare-gold/95675
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Hürlimann Sternbräu,Lager - Euro Pale,4.8% ABV,N/A IBU,(3.05),487 Ratings,Added 09/11/13,https://untappd.com/b/feldschlosschen-hurlimann-sternbrau/451210
https://untappd.com/brewery/3058,"Rheinfelden, Aargau Switzerland","117,127","42,222",849,Cardinal Draft Lime Cut,Shandy / Radler,4.6% ABV,4 IBU,(2.77),457 Ratings,Added 11/04/11,https://untappd.com/b/feldschlosschen-cardinal-draft-lime-cut/95280
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Quöllfrisch Hell,Lager - Helles,4.8% ABV,18 IBU,(3.16),"16,093 Ratings",Added 03/19/11,https://untappd.com/b/brauerei-locher-appenzeller-quollfrisch-hell/38355
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Quöllfrisch Naturtrüb,Kellerbier / Zwickelbier,4.8% ABV,18 IBU,(3.43),"6,951 Ratings",Added 07/31/11,https://untappd.com/b/brauerei-locher-appenzeller-quollfrisch-naturtrub/68230
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Brandlöscher,Lager - Amber,4.8% ABV,18 IBU,(3.27),"2,902 Ratings",Added 03/15/12,https://untappd.com/b/brauerei-locher-appenzeller-brandloscher/145415
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,1936 Bière,Lager - Helles,4.7% ABV,N/A IBU,(3.17),"2,838 Ratings",Added 04/18/12,https://untappd.com/b/brauerei-locher-1936-biere/160763
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,IPA Birra Artigianale,IPA - International,8% ABV,44 IBU,(3.38),"2,833 Ratings",Added 12/19/15,https://untappd.com/b/brauerei-locher-ipa-birra-artigianale/1356002
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Schwarzer Kristall,Schwarzbier,6.3% ABV,18 IBU,(3.49),"2,691 Ratings",Added 05/20/11,https://untappd.com/b/brauerei-locher-appenzeller-schwarzer-kristall/51531
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Weizenbier,Hefeweizen,5.2% ABV,15 IBU,(3.54),"2,339 Ratings",Added 06/24/11,https://untappd.com/b/brauerei-locher-appenzeller-weizenbier/59568
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Holzfass-Bier,Lager - Vienna,5.2% ABV,18 IBU,(3.34),"2,495 Ratings",Added 07/30/11,https://untappd.com/b/brauerei-locher-appenzeller-holzfass-bier/67951
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Vollmond Bier,Kellerbier / Zwickelbier,5.2% ABV,18 IBU,(3.23),"2,136 Ratings",Added 01/28/11,https://untappd.com/b/brauerei-locher-vollmond-bier/27107
https://untappd.com/brewery/217,"Appenzell, Appenzell Innerrhoden Switzerland","84,832","34,399",596,Appenzeller Hanfblüte,Spiced / Herbed Beer,5.2% ABV,15 IBU,(3.25),"1,874 Ratings",Added 08/14/11,https://untappd.com/b/brauerei-locher-appenzeller-hanfblute/72001
